participant,language,word,translation,knowledge,confidence,response_type,comments
5b5f133...,Catalan,bolquer,bouquet,FALSE,2,wrong,
5b5f133...,Catalan,bou,bowl,FALSE,2,false_friend,
5b5f133...,Catalan,entrepa,entrepreneur,FALSE,2,wrong,
5b5f133...,Catalan,estrella,australia,FALSE,2,wrong,
5b5f133...,Catalan,gat,guard,FALSE,2,wrong,
5b5f133...,Catalan,moto,alive,FALSE,2,wrong,
5b5f133...,Catalan,peu,bell,FALSE,2,wrong,
5b5f133...,Catalan,porta,porter,FALSE,2,wrong,
5b5f133...,Catalan,tomaquet,tomato,FALSE,2,correct,
5b5f133...,Catalan,bol,ball,FALSE,3,false_friend,
5b5f133...,Catalan,cuc,cook,FALSE,3,false_friend,
5b5f133...,Catalan,guitarra,guitar,FALSE,3,correct,
5b5f133...,Catalan,onada,another,FALSE,3,wrong,
5b5f133...,Catalan,pingui,penguin,FALSE,3,correct,
5b5f133...,Catalan,porc,pork,FALSE,3,correct,
5b5f133...,Catalan,zebra,zebra,FALSE,3,correct,
5b5f133...,Catalan,cama,camera,FALSE,4,wrong,
5b5f133...,Catalan,bolet,ticket,TRUE,2,wrong,
5b5f133...,Catalan,pollastre,lecture,TRUE,3,wrong,
5b5f133...,Catalan,xocolata,chocolate,TRUE,5,correct,
5ca1241...,Spanish,esponja,hat,FALSE,0,wrong,
5ca1241...,Spanish,moto,random,FALSE,0,wrong,
5ca1241...,Spanish,biberon,baby run,FALSE,0,wrong,
5ca1241...,Spanish,boton,don’t,FALSE,0,wrong,
5ca1241...,Spanish,burro,pour,FALSE,0,wrong,
5ca1241...,Spanish,caballo,bicycle,FALSE,0,wrong,
5ca1241...,Spanish,galleta,kite,FALSE,0,wrong,
5ca1241...,Spanish,gusano,shyness,FALSE,0,wrong,
5ca1241...,Spanish,ladrillo,dreaming,FALSE,0,wrong,
5ca1241...,Spanish,lapiz,my place,FALSE,0,wrong,
5ca1241...,Spanish,lengua,dingo,FALSE,0,wrong,
5ca1241...,Spanish,manzana,space,FALSE,0,wrong,
5ca1241...,Spanish,nariz,dream,FALSE,0,wrong,
5ca1241...,Spanish,oveja,childlike,FALSE,0,wrong,
5ca1241...,Spanish,pajaro,park,FALSE,0,wrong,
5ca1241...,Spanish,pan,star,FALSE,0,wrong,
5ca1241...,Spanish,panal,palm tree,FALSE,0,wrong,
5ca1241...,Spanish,pastel,busted,FALSE,0,wrong,
5ca1241...,Spanish,pie,yay,FALSE,0,wrong,
5ca1241...,Spanish,tijeras,heavenly,FALSE,0,wrong,
5ca1241...,Spanish,corona,oranges,FALSE,1,wrong,
5ca1241...,Spanish,flor,love,FALSE,1,wrong,
5ca1241...,Spanish,tobogan,it’s big,FALSE,1,wrong,
5ca1241...,Spanish,arbol,handball,FALSE,1,wrong,
5ca1241...,Spanish,avestruz,restroom,FALSE,1,wrong,
5ca1241...,Spanish,barco,parking,FALSE,1,wrong,
5ca1241...,Spanish,buho,one,FALSE,1,wrong,
5ca1241...,Spanish,caja,car,FALSE,1,wrong,
5ca1241...,Spanish,calcetin,garden,FALSE,1,wrong,
5ca1241...,Spanish,caracol,racket,FALSE,1,wrong,
5ca1241...,Spanish,cereza,selected,FALSE,1,wrong,
5ca1241...,Spanish,cielo,halo,FALSE,1,wrong,
5ca1241...,Spanish,cubo,bowl,FALSE,1,wrong,
5ca1241...,Spanish,cuchara,chair,FALSE,1,wrong,
5ca1241...,Spanish,dedo,dead,FALSE,1,wrong,
5ca1241...,Spanish,gafas,gas,FALSE,1,wrong,
5ca1241...,Spanish,globo,neighbour,FALSE,1,wrong,
5ca1241...,Spanish,gorrion,lion,FALSE,1,wrong,
5ca1241...,Spanish,jirafa,falafel,FALSE,1,wrong,
5ca1241...,Spanish,loro,law,FALSE,1,wrong,
5ca1241...,Spanish,mano,mine,FALSE,1,wrong,
