"group","participant_id","word_1","response","correct","response_type","valid_status","valid_response","valid_participant"
"spa-ENG","5e3878b...","bici","bees",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e52fa4...","bici","busy",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e60db5...","bici","please",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e64212...","bici","bc",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5e6571b...","bici","bicycle",TRUE,"correct","Valid",TRUE,TRUE
"spa-ENG","5e71e92...","bici","piece",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e788a0...","bici","bee",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e84efb...","bici","busy",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e95bef...","bici","pool",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e96292...","bici","beef",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e9b959...","bici","beach",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e9df7f...","bici",NA,FALSE,"blank","Insufficient trials",FALSE,FALSE
"spa-ENG","5eacad0...","bici","being",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eaeeb1...","bici","beef",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb2d2d...","bici",NA,FALSE,"blank","Insufficient trials",FALSE,FALSE
"spa-ENG","5eb3c2e...","bici","beefy",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5eb450d...","bici","messy",FALSE,"wrong",NA,TRUE,NA
"spa-ENG","5eb54aa...","bici","bee",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb9b01...","bici","beef",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb9e95...","bici","beefy",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5ebef0e...","bici","beach",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec27b1...","bici","delightful",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec7e25...","bici","massive",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ec83d6...","bici","bison",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ed8bf9...","bici","beefy",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5ee0c7f...","bici","bicycle",TRUE,"correct","Valid",TRUE,TRUE
"spa-ENG","5ee7665...","bici","baby",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5b1ec77...","boca","ball",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5b6f4c6...","boca","beer",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d687a7...","boca","coffee",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5d6c21b...","boca","boca",FALSE,"language","Insufficient trials",FALSE,FALSE
"spa-ENG","5dae0ea...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5dd6934...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e2c9ac...","boca","blue",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e32a99...","boca","book",FALSE,"wrong","Language impairment",TRUE,FALSE
"spa-ENG","5e3878b...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e52fa4...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e60db5...","boca","scooter",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e64212...","boca","book",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5e6571b...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e71e92...","boca","good",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e788a0...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e84efb...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e95bef...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e96292...","boca","boy",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e9b959...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5e9df7f...","boca","wolf",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5eacad0...","boca","barred",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eaeeb1...","boca","book",FALSE,"wrong","Valid",TRUE,TRUE
"spa-ENG","5eb2d2d...","boca","poca",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5eb3c2e...","boca","book",FALSE,"wrong","Insufficient trials",TRUE,FALSE
"spa-ENG","5eb450d...","boca","book",FALSE,"wrong",NA,TRUE,NA
