"group","participant_id","word_1","response","correct","response_type","valid_status","valid_response","valid_participant"
"spa-ENG","5eb9e95...","barco","marco",false,"wrong","Insufficient trials",true,false
"spa-ENG","5ebef0e...","barco","bark",false,"wrong","Valid",true,true
"spa-ENG","5ec27b1...","barco","bar",false,"wrong","Valid",true,true
"spa-ENG","5ec7e25...","barco","bark",false,"wrong","Valid",true,true
"spa-ENG","5ec83d6...","barco","tree",false,"wrong","Valid",true,true
"spa-ENG","5ed8bf9...","barco","bark",false,"wrong","Valid",true,true
"spa-ENG","5ee0c7f...","barco","barcode",false,"wrong","Valid",true,true
"spa-ENG","5ee7665...","barco","bread",false,"wrong","Valid",true,true
"spa-ENG","5b1ec77...","biberon","unsure",false,"other","Valid",false,true
"spa-ENG","5b6f4c6...","biberon","but",false,"wrong","Valid",true,true
"spa-ENG","5d687a7...","biberon","apron",false,"wrong","Valid",true,true
"spa-ENG","5d6c21b...","biberon","perion",false,"language","Insufficient trials",false,false
"spa-ENG","5dae0ea...","biberon","beer",false,"wrong","Valid",true,true
"spa-ENG","5dd6934...","biberon","lemon",false,"wrong","Valid",true,true
"spa-ENG","5e2c9ac...","biberon","monkey",false,"wrong","Valid",true,true
"spa-ENG","5e32a99...","biberon","drink",false,"wrong","Language impairment",true,false
"spa-ENG","5e3878b...","biberon","drinks",false,"wrong","Valid",true,true
"spa-ENG","5e52fa4...","biberon","baby doll",false,"wrong","Valid",true,true
"spa-ENG","5e60db5...","biberon","curry",false,"wrong","Valid",true,true
"spa-ENG","5e64212...","biberon","na",false,"other","Insufficient trials",false,false
"spa-ENG","5e6571b...","biberon","toddler",false,"wrong","Valid",true,true
"spa-ENG","5e71e92...","biberon","live",false,"wrong","Valid",true,true
"spa-ENG","5e788a0...","biberon","earring",false,"wrong","Valid",true,true
"spa-ENG","5e84efb...","biberon","bribe",false,"wrong","Valid",true,true
"spa-ENG","5e8f390...","biberon","bill",false,"wrong","Insufficient trials",true,false
"spa-ENG","5e95bef...","biberon","pretty",false,"wrong","Valid",true,true
"spa-ENG","5e96292...","biberon","maroon",false,"wrong","Valid",true,true
"spa-ENG","5e9b959...","biberon","umbrella",false,"wrong","Valid",true,true
"spa-ENG","5e9df7f...","biberon",,false,"blank","Insufficient trials",false,false
"spa-ENG","5eacad0...","biberon","being",false,"wrong","Valid",true,true
"spa-ENG","5eaeeb1...","biberon","biro",false,"wrong","Valid",true,true
"spa-ENG","5eb2d2d...","biberon","baby",false,"wrong","Insufficient trials",true,false
"spa-ENG","5eb3c2e...","biberon",,false,"blank","Insufficient trials",false,false
"spa-ENG","5eb450d...","biberon","on",false,"wrong",,true,
"spa-ENG","5eb54aa...","biberon","goodbye",false,"wrong","Valid",true,true
"spa-ENG","5eb9b01...","biberon","cheese",false,"wrong","Valid",true,true
"spa-ENG","5eb9e95...","biberon","mirino",false,"language","Insufficient trials",false,false
"spa-ENG","5ebef0e...","biberon","don't",false,"wrong","Valid",true,true
"spa-ENG","5ec27b1...","biberon","babble",false,"wrong","Valid",true,true
"spa-ENG","5ec7e25...","biberon","move on",false,"wrong","Valid",true,true
"spa-ENG","5ec83d6...","biberon","run",false,"wrong","Valid",true,true
"spa-ENG","5ed8bf9...","biberon","pork",false,"wrong","Valid",true,true
"spa-ENG","5ee0c7f...","biberon","brown",false,"wrong","Valid",true,true
"spa-ENG","5ee7665...","biberon","melon",false,"wrong","Valid",true,true
"spa-ENG","5b1ec77...","bici","beef",false,"wrong","Valid",true,true
"spa-ENG","5b6f4c6...","bici","beast",false,"wrong","Valid",true,true
"spa-ENG","5d687a7...","bici","whale",false,"wrong","Valid",true,true
"spa-ENG","5d6c21b...","bici","bithi",false,"language","Insufficient trials",false,false
"spa-ENG","5dae0ea...","bici","letter",false,"wrong","Valid",true,true
"spa-ENG","5dd6934...","bici","feet",false,"wrong","Valid",true,true
"spa-ENG","5e2c9ac...","bici","baby",false,"wrong","Valid",true,true
"spa-ENG","5e32a99...","bici","bee",false,"wrong","Language impairment",true,false
"spa-ENG","5e3878b...","bici","bees",false,"wrong","Valid",true,true
"spa-ENG","5e52fa4...","bici","busy",false,"wrong","Valid",true,true
"spa-ENG","5e60db5...","bici","please",false,"wrong","Valid",true,true
"spa-ENG","5e64212...","bici","bc",false,"wrong","Insufficient trials",true,false
"spa-ENG","5e6571b...","bici","bicycle",true,"correct","Valid",true,true
"spa-ENG","5e71e92...","bici","piece",false,"wrong","Valid",true,true
"spa-ENG","5e788a0...","bici","bee",false,"wrong","Valid",true,true
"spa-ENG","5e84efb...","bici","busy",false,"wrong","Valid",true,true
"spa-ENG","5e95bef...","bici","pool",false,"wrong","Valid",true,true
"spa-ENG","5e96292...","bici","beef",false,"wrong","Valid",true,true
"spa-ENG","5e9b959...","bici","beach",false,"wrong","Valid",true,true
"spa-ENG","5e9df7f...","bici",,false,"blank","Insufficient trials",false,false
"spa-ENG","5eacad0...","bici","being",false,"wrong","Valid",true,true
"spa-ENG","5eaeeb1...","bici","beef",false,"wrong","Valid",true,true
"spa-ENG","5eb2d2d...","bici",,false,"blank","Insufficient trials",false,false
"spa-ENG","5eb3c2e...","bici","beefy",false,"wrong","Insufficient trials",true,false
"spa-ENG","5eb450d...","bici","messy",false,"wrong",,true,
"spa-ENG","5eb54aa...","bici","bee",false,"wrong","Valid",true,true
