"participant_id","group","word_1","response","knowledge","confidence","correct","response_type","valid_participant","valid_response"
"5b5f133...","cat-ENG","raspall","response",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","samarreta","summer",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","sol","shaul",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","tigre","deed",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","tisores","tiredness",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","ulleres","white",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","ungla","warmer",false,0,false,"wrong",true,true
"5b5f133...","cat-ENG","abella","away",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","aixeta","sharer",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","ampolla","unimportant",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","bici","bees",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","caixa","cash",false,1,false,"false_friend",true,true
"5b5f133...","cat-ENG","casa","cousin",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","colom","colour",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","corona","corona",false,1,false,"language",true,false
"5b5f133...","cat-ENG","esponja","sponge",false,1,true,"correct",true,true
"5b5f133...","cat-ENG","estruc","asleep",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","flor","flow",false,1,false,"false_friend",true,true
"5b5f133...","cat-ENG","forquilla","forgive",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","galeta","letter",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","galleda","clever",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","globus","global",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","gorra","dora",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","got","god",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","llibre","libra",false,1,false,"false_friend",true,true
"5b5f133...","cat-ENG","lluna","moon",false,1,true,"correct",true,true
"5b5f133...","cat-ENG","mirall","music",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","moneda","moon",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","mussol","music",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","orella","away",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","ovella","weather",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","pa","bath",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","papallona","papia",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","patata","potato",false,1,true,"correct",true,true
"5b5f133...","cat-ENG","plat","loud",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","ploma","bloomer",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","taronja","orange",false,1,true,"correct",true,true
"5b5f133...","cat-ENG","tobogan","twin",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","tren","today",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","ull","wool",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","vaixell","shame",false,1,false,"wrong",true,true
"5b5f133...","cat-ENG","bolquer","bouquet",false,2,false,"wrong",true,true
"5b5f133...","cat-ENG","bou","bowl",false,2,false,"false_friend",true,true
"5b5f133...","cat-ENG","entrepa","entrepreneur",false,2,false,"wrong",true,true
"5b5f133...","cat-ENG","estrella","australia",false,2,false,"wrong",true,true
"5b5f133...","cat-ENG","gat","guard",false,2,false,"wrong",true,true
"5b5f133...","cat-ENG","moto","alive",false,2,false,"wrong",true,true
"5b5f133...","cat-ENG","peu","bell",false,2,false,"wrong",true,true
"5b5f133...","cat-ENG","porta","porter",false,2,false,"wrong",true,true
"5b5f133...","cat-ENG","tomaquet","tomato",false,2,true,"correct",true,true
"5b5f133...","cat-ENG","bol","ball",false,3,false,"false_friend",true,true
"5b5f133...","cat-ENG","cuc","cook",false,3,false,"false_friend",true,true
"5b5f133...","cat-ENG","guitarra","guitar",false,3,true,"correct",true,true
"5b5f133...","cat-ENG","onada","another",false,3,false,"wrong",true,true
"5b5f133...","cat-ENG","pingui","penguin",false,3,true,"correct",true,true
"5b5f133...","cat-ENG","porc","pork",false,3,true,"correct",true,true
"5b5f133...","cat-ENG","zebra","zebra",false,3,true,"correct",true,true
"5b5f133...","cat-ENG","cama","camera",false,4,false,"wrong",true,true
"5b5f133...","cat-ENG","bolet","ticket",true,2,false,"wrong",true,true
"5b5f133...","cat-ENG","pollastre","lecture",true,3,false,"wrong",true,true
"5b5f133...","cat-ENG","xocolata","chocolate",true,5,true,"correct",true,true
"5ca1241...","spa-ENG","esponja","hat",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","moto","random",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","biberon","baby run",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","boton","don’t",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","burro","pour",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","caballo","bicycle",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","galleta","kite",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","gusano","shyness",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","ladrillo","dreaming",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","lapiz","my place",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","lengua","dingo",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","manzana","space",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","nariz","dream",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","oveja","childlike",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","pajaro","park",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","pan","star",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","panal","palm tree",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","pastel","busted",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","pie","yay",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","tijeras","heavenly",false,0,false,"wrong",true,true
"5ca1241...","spa-ENG","corona","oranges",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","flor","love",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","tobogan","it’s big",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","arbol","handball",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","avestruz","restroom",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","barco","parking",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","buho","one",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","caja","car",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","calcetin","garden",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","caracol","racket",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","cereza","selected",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","cielo","halo",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","cubo","bowl",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","cuchara","chair",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","dedo","dead",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","gafas","gas",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","globo","neighbour",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","gorrion","lion",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","jirafa","falafel",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","loro","law",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","mano","mine",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","muneca","plums",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","pato","part",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","pelota","pillow",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","pierna","learner",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","pluma","illuminate",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","pollo","oil",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","tenedor","tennis",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","toro","oh look",false,1,false,"wrong",true,true
"5ca1241...","spa-ENG","bici","difficult",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","camisa","sister",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","estrella","australia",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","moneda","first",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","patata","potato",false,2,true,"correct",true,true
"5ca1241...","spa-ENG","bocadillo","ocarina",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","boli","ball",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","botella","potatoes",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","camiseta","sweater",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","cepillo","tapping",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","cerdo","third",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","cesta","festival",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","coche","hot",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","frambuesa","trumbone",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","gallina","kayaking",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","leon","leon",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","libro","book",false,2,true,"correct",true,true
"5ca1241...","spa-ENG","mariposa","my posture",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","mesa","mister",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","ombligo","obligated",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","osito","also",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","pez","bed",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","pinguino","linguine",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","plato","latte",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","tambor","tambourine",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","zanahoria","goodbye",false,2,false,"wrong",true,true
"5ca1241...","spa-ENG","boca","pork",false,3,false,"wrong",true,true
"5ca1241...","spa-ENG","brazo","grass",false,3,false,"wrong",true,true
"5ca1241...","spa-ENG","grifo","grief",false,3,false,"wrong",true,true
"5ca1241...","spa-ENG","hormiga","mother",false,3,false,"wrong",true,true
"5ca1241...","spa-ENG","mono","morning",false,3,false,"wrong",true,true
"5ca1241...","spa-ENG","platano","latino",false,3,false,"wrong",true,true
"5ca1241...","spa-ENG","ventana","bandana",false,3,false,"wrong",true,true
"5ca1241...","spa-ENG","bol","ball",false,4,false,"false_friend",true,true
"5ca1241...","spa-ENG","guitarra","guitar",false,4,true,"correct",true,true
"5ca1241...","spa-ENG","tren","train",false,4,true,"correct",true,true
"5ca1241...","spa-ENG","cebra","zebra",false,4,true,"correct",true,true
"5ca1241...","spa-ENG","luna","moon",false,4,true,"correct",true,true
"5ca1241...","spa-ENG","martillo","party",false,4,false,"wrong",true,true
"5ca1241...","spa-ENG","gorro","fat",true,1,false,"wrong",true,true
"5ca1241...","spa-ENG","puerta","because",true,1,false,"wrong",true,true
"5ca1241...","spa-ENG","sol","sun",true,3,true,"correct",true,true
"5ca1241...","spa-ENG","chaqueta","girls",true,3,false,"wrong",true,true
"5ca1241...","spa-ENG","tigre","tiger",true,4,true,"correct",true,true
"5ca1241...","spa-ENG","gato","cat",true,4,true,"correct",true,true
"5ca1241...","spa-ENG","naranja","oranges",true,4,true,"typo",true,true
"5ca1241...","spa-ENG","pantalon","trousers",true,4,true,"correct",true,true
"5ca1241...","spa-ENG","chocolate","chocolate",true,5,true,"correct",true,true
"5ca1241...","spa-ENG","perro","but",true,5,false,"wrong",true,true
"5ca1241...","spa-ENG","tomate","tomatoes",true,5,true,"typo",true,true
"5ca1241...","spa-ENG","leche","water",true,6,false,"wrong",true,true
"5ca1241...","spa-ENG","sandwich","sandwich",true,6,true,"correct",true,true
"5ca1241...","spa-ENG","ola","hello",true,7,false,"false_friend",true,true
"5cdfa1b...","cat-ENG","abella","house",false,0,false,"wrong",true,true
